repo_slug,category,rationale,suggested_new_class
coranlabs/hexaebpf,"Operations, Orchestration & Lifecycle Management","The repository describes itself as a 'Kubernetes (K8s) Operator designed to redefine how open-source 5G core networks are deployed and managed.' Its primary function is to automate the deployment, configuration, and lifecycle of a complex system that includes an eBPF-based User Plane. The tool orchestrates different components (Control Plane, User Plane, RAN simulator) rather than implementing the eBPF functionality itself. This perfectly matches the definition of the 'Operations, Orchestration & Lifecycle Management' class, which includes tools that 'manage, deploy, coordinate, configure, or automate the lifecycle of eBPF programs or systems that depend on them'.",
elastic/tk-btf,Developer Tooling / Frameworks,"The repository provides a Go package, which is a library designed to be used by developers. Its primary function is to ""fabricate the string representation of Linux tracing kprobes based on BTF files."" This is a clear example of a developer tool that abstracts a low-level complexity (creating kprobe definitions dynamically) to make building eBPF-based applications easier and more portable. It does not perform security, observability, or networking itself; instead, it serves as a building block for other programs that might. Therefore, it perfectly aligns with the definition of a Developer Tooling / Framework.",
chayuto/tetragon-playground,Educational / Demonstration Resources,"The repository's explicit purpose, as indicated by its title 'Tetragon Playground' and description 'Ready to play examples', is to provide a simple, hands-on environment for learning and experimenting with the Tetragon eBPF tool. It is not a production tool itself but a resource for learning and demonstration, which aligns perfectly with the definition of this class. The goal is to teach and showcase what Tetragon can do in an easy-to-set-up environment, not to perform runtime security as a primary function.",
itsCheithanya/eBPF-XDP-ML-Firewall,Runtime Security,"The repository's primary intent is to create a real-time firewall using eBPF and XDP to detect and filter malicious network packets. It uses a machine learning model to identify threats and takes immediate action by filtering traffic at the network interface. This directly aligns with the definition of Runtime Security, which focuses on observing, detecting, and responding to malicious activity as it happens. While it uses XDP (a Kernel/Dataplane Networking technology), its core purpose is protection and enforcement, not just packet processing or performance.",
atomic77/nethadone,Kernel / Dataplane Networking,"The repository describes Nethadone as an ""adaptive L4 router"" that uses eBPF to ""monitor and dynamically adjust traffic speeds"". Its core functionality involves attaching eBPF programs to the `tc` (traffic control) subsystem to classify and manipulate packet flow by throttling traffic based on configured policies. This is a direct implementation of packet processing and traffic shaping within the kernel's networking stack, which is the central definition of the Kernel / Dataplane Networking class. The project is not specific to cloud-native environments and its primary function is the manipulation of the packet path, not security enforcement or passive observability.",
0xSh4dy/bee_tracer,Offensive Security,"The repository provides a tool that uses eBPF uprobes to hook into user-space SSL/TLS libraries (OpenSSL, GnuTLS, NSS) for the express purpose of extracting plaintext data from encrypted communications. This action constitutes a bypass of a fundamental security control (encryption). The definition of the Offensive Security class explicitly includes 'credential sniffers' and tools that 'bypass existing security measures'. The tool's functionality is directly analogous to the positive example `citronneur/blindssl`, which intercepts TLS calls. Although the README mentions benign use cases like debugging and auditing, the core capability is adversarial in nature—intercepting and revealing sensitive data that is intended to be protected. The class definition also notes to include such tools even if their stated intent is educational or research-oriented.",
evanrolfe/trayce_agent,Observability,"The repository's stated purpose is to ""monitor network requests between Docker containers and external hosts"" and to be used with a GUI to ""inspect traffic"". This aligns perfectly with the definition of Observability, which focuses on observing, measuring, and tracing system behavior to provide insight and diagnostics. The tool collects network flow data without an explicit security enforcement or networking implementation goal, making it a classic example of an eBPF-based observability agent.",
dorkamotorka/ebpf-map-metrics,Observability,"The repository's name, ""eBPF Map Prometheus Exporter,"" and its description clearly state its primary function: to export metrics about eBPF maps (pressure and element count) to Prometheus. This directly aligns with the Observability class definition, which includes programs that collect telemetry data and export it to observability stacks like Prometheus. The tool's intent is to provide visibility into the operational state of eBPF maps for monitoring and analysis, not for security enforcement, networking, or developer tooling.",
aquasecurity/traceeshark,Runtime Security,"Traceeshark is a tool designed to analyze data from Tracee, an eBPF-based runtime security tool. The repository's documentation explicitly states its purpose is to bring ""Linux runtime security monitoring"" to Wireshark and provides ""malware analysis"" as a key use case. Although it functions as a visibility and analysis tool (similar to observability), its intent is unequivocally security-focused. It empowers a security analyst to observe and detect malicious activity by inspecting detailed runtime event captures. This aligns directly with the 'observe' and 'detect' components of the Runtime Security definition, as its primary goal is to interpret system behavior through a threat-detection lens, not for neutral performance monitoring.",
tzussman/kmodleak,Observability,"The primary function of `kmodleak` is to trace and monitor memory allocations and deallocations within a specific Linux kernel module to detect leaks. This falls squarely under the Observability category, as it uses eBPF to observe system behavior (memory management) for the purpose of debugging and diagnostics. Its goal is to help developers understand and fix bugs (memory leaks) to improve reliability, which is a core tenet of observability. It does not perform real-time security enforcement (Runtime Security) nor does it proactively harden systems against future attacks (Defensive Security); it is a diagnostic tool for developers.",
eunomia-bpf/llvmbpf,"Platform, Runtime & Acceleration","The repository's primary purpose is to provide a high-performance, userspace virtual machine (VM) for executing eBPF bytecode. It focuses entirely on the execution environment, offering JIT/AOT compilation via LLVM. This directly aligns with the definition of 'Platform, Runtime & Acceleration', which covers programs that define *how* eBPF executes, not *what* it does. Furthermore, its explicit support for hardware acceleration via GPU offload (generating PTX for NVIDIA and SPIR-V for other vendors) is a key indicator for this category. The project provides an execution engine, not a security, networking, or observability tool.",
mizzy/ebpf-go-playground,Educational / Demonstration Resources,"The repository is explicitly named a ""playground"" and its README states its purpose is to be a space to try out the official ""getting-started"" guide for the ebpf-go library. This aligns perfectly with the definition of the 'Educational / Demonstration Resources' class, which includes projects created for teaching, training, and following tutorials. The repository's sole intent is to facilitate learning, not to provide a production tool, framework, or service.",
miekg/ebpf,Developer Tooling / Frameworks,"The repository's explicit goal is to create a compiler that translates Go code into eBPF bytecode, aiming to replace the standard C-to-eBPF toolchain (clang/llvm). Its function is to empower developers to write eBPF programs using Go, which is a classic example of developer tooling. The project does not perform any runtime security, observability, or networking tasks itself; instead, it provides the means for developers to build programs that might perform those tasks. This aligns perfectly with the definition of 'Developer Tooling / Frameworks', which includes compilers, SDKs, and libraries that make eBPF development easier.",
maxgio92/yap,Observability,"The repository describes itself as a 'low-overhead eBPF-assisted CPU time continuous Profiler'. Its primary function is to sample stack traces from a running process to determine which functions are consuming the most CPU time. This directly aligns with the Observability class definition, which includes programs that 'observe, measure, trace, or profile systems, applications, or networks without a security or adversarial goal.' The tool's output is performance telemetry (residency fraction of stack traces), which is used for performance analysis and debugging, a core tenet of observability.",
javidaslan/inter-pod-network-optimisation,Cloud Native Networking,"The repository's name, 'inter-pod-network-optimisation', directly states its purpose is to optimize network performance for communication between pods. Pods are a fundamental component of Kubernetes, placing the project squarely within the cloud-native ecosystem. The 'Cloud Native Networking' class definition explicitly includes programs that 'use eBPF to ... optimize, or extend networking capabilities within containerized or cloud-native environments'. This aligns perfectly with the repository's stated intent to improve connectivity and performance within an orchestrated system.",
pythops/oryx,Observability,"The repository's main intent, as stated in its description, is to be a ""TUI for sniffing network traffic using eBPF"". The core features listed, such as ""Real-time traffic inspection and visualization,"" ""Comprehensive Traffic Statistics,"" and a ""Metrics explorer,"" are all central to the definition of Observability. The tool is designed to provide a human operator with insight into real-time network behavior. Although it includes ""Firewall functionalities,"" which could suggest Kernel/Dataplane Networking, this feature appears secondary to the primary goal of inspection and visualization. The tool's purpose is to help users understand system behavior through traffic analysis, which is the very essence of the Observability class.",
zmaril/bpfquery,Developer Tooling / Frameworks,"The primary intent of this repository is to make it easier for developers to create eBPF programs by providing a high-level SQL interface. It compiles SQL queries into bpftrace programs, directly addressing the author's stated motivation of overcoming the difficulty of writing BPF code from scratch. This fits the definition of a developer tool, as it provides an abstraction layer and a compiler to improve developer productivity, rather than being an end-user observability, security, or networking application itself.",
yuta-imai/tap-house,Observability,"The repository's explicit purpose is to function as an ""ebpf based packet analyser"". This aligns perfectly with the definition of the Observability class, which includes programs that use eBPF to observe, measure, or trace systems without a security or adversarial goal. The tool taps network packets to provide visibility, which is a core observability function. It is not designed for threat detection (Runtime Security), packet forwarding/modification (Kernel/Dataplane Networking), or developer support (Developer Tooling).",
anoushk1234/zig-ebpf,"Platform, Runtime & Acceleration","The repository's explicit goal is to create a 'Zig virtual machine for eBPF programs'. This aligns directly with the 'Platform, Runtime & Acceleration' class, which includes programs providing underlying runtime environments and interpreters for executing eBPF bytecode. The project implements the eBPF Instruction Set Architecture (ISA) in user-space, which is a key characteristic of this category. Its features, such as the VM, assembler, disassembler, and planned JIT compiler, are all components of a runtime platform, focusing on *how* eBPF executes, not *what* it's used for (like security or networking).",
amiremohamadi/bpfsnake,Educational / Demonstration Resources,"The repository is an implementation of the Snake game using bpftrace. The project's own description explicitly frames it as a 'playful demonstration' that 'showcase[s] the versatility and power of eBPF'. Its primary intent is not to provide a production-ready tool for security, networking, or observability, but rather to serve as a proof-of-concept that explores the capabilities and limitations of the technology in a novel way. This aligns perfectly with the definition of an educational or demonstration resource, which includes showcase programs built to teach or demonstrate concepts.",
nullswan/bpfsnitch,Runtime Security,"Although the repository uses the term ""observability,"" its core functionality and intent align with Runtime Security. The tool monitors specific, security-sensitive system calls in real time, such as `execve`, `chroot`, `setuid`, and `mount`. The documentation explicitly mentions monitoring ""critical operations that could affect system security or stability."" This focus on potentially malicious or policy-violating activities, even if only exposed as metrics for an external system like Prometheus to analyze, places it firmly in the security domain. It is designed to observe systems through a threat-detection lens, which is the key differentiator from a neutral Observability tool.",
scottgerring/minderbinder,Defensive Security,"The repository's primary intent is to perform chaos engineering by injecting failures into system calls and network traffic for running processes. This practice is a form of proactive system hardening and validation. The goal is to test the resilience of applications to adverse conditions, thereby identifying and fixing weaknesses before they can cause production outages. This aligns directly with the 'Defensive Security' class, which includes programs that 'strengthen, validate, or harden systems' and 'test' for 'potential weaknesses'. While it operates on running systems, its purpose is not to react to malicious attacks (Runtime Security) but to proactively improve system robustness, which is a core tenet of defensive engineering.",
edgecase1/ebpf-can,Educational / Demonstration Resources,"The repository's primary intent is to teach and demonstrate, not to provide a production-grade tool. This is explicitly stated through the descriptions of its components, such as a ""toy example to show how to use an eBPF program"" and a ""sample program."" While the subject matter is packet filtering with XDP and TC (which falls under Kernel / Dataplane Networking functionally), the framing as ""starter"" and ""toy"" examples clearly places its main purpose in the educational category. It is designed for learning and experimentation rather than deployment.",
takehaya/Sys-Ebpf,Developer Tooling / Frameworks,"The repository provides a ""pure-perl library to read, modify and load eBPF programs and attach them to various hooks in the Linux kernel."" Its components, such as `Sys::Ebpf::Loader` and `Sys::Ebpf::Asm`, function as an SDK or a set of language bindings for Perl developers. The primary intent is not to perform a specific function like observability or security, but to enable developers to build their own eBPF applications in Perl. This directly aligns with the definition of Developer Tooling / Frameworks, which includes libraries, SDKs, and frameworks that simplify eBPF program development.",
furkanonder/DnsTrace,Observability,"The repository's primary function is to ""Monitor DNS queries by host processes using eBPF!"". It provides real-time statistics, process attribution, and live-streaming of DNS events. This aligns perfectly with the Observability class, which focuses on observing, measuring, and tracing system behavior to provide insight and diagnostics. The tool does not perform any security detection, policy enforcement, or adversarial actions; its sole purpose is to grant visibility into system activity, which is the core tenet of Observability.",
recontech404/Kairos,Defensive Security,"The repository describes itself as an ""eBPF Malware Analysis Framework."" Its primary function is to execute potentially malicious code within a controlled environment (a sandbox) and use eBPF to capture its behavior, such as syscalls, network connections, and file access. This process of analyzing malware to understand its functionality is a core activity in defensive security. The insights gained from such analysis are used to build better detection rules, harden systems, and develop countermeasures. The tool is not performing real-time protection on a live system (ruling out Runtime Security), nor is it used for offensive purposes. Its intent is purely analytical and preparatory, fitting the definition of Defensive Security which focuses on proactive defense through analysis and understanding of threats.",
SRodi/ebpf-file-delete-tracer,Educational / Demonstration Resources,"The repository's primary purpose is explicitly stated as to ""demonstrate the use of eBPF to trace file deletion events"". The entire structure, from the detailed step-by-step installation and usage instructions to the code explanations and debugging tips, is designed for teaching and learning. It is a self-contained, simple example that showcases a specific eBPF capability (tracing the `unlinkat` syscall) rather than being a production-ready tool for observability or security. Its intent is pedagogical, making it a classic fit for the Educational / Demonstration Resources category.",
0xdeafbeef/jeprofl,Observability,"The repository provides a memory allocation profiler. Its primary function is to use eBPF to trace `jemalloc` function calls, collect performance data like stack traces and allocation sizes, and generate visualizations such as flame graphs. This aligns perfectly with the definition of Observability, which focuses on using eBPF to measure, trace, and profile systems for performance analysis and debugging. The tool's intent is to provide insight into application behavior (memory usage), not to enforce security, manage networking, or attack a system.",
datahangar/sfunnel,Cloud Native Networking,"The repository's explicit purpose is to solve a networking problem within Kubernetes. It uses eBPF to ""funnel multiple traffic flows through a single Kubernetes service port"" to ensure consistent session affinity. This functionality directly extends and optimizes networking capabilities within a containerized, cloud-native environment. The documentation and examples are entirely focused on Kubernetes constructs like Services, Deployments, and CNIs (Cilium, Calico), placing it squarely in the Cloud Native Networking category, as opposed to general-purpose Kernel/Dataplane Networking.",
acassen/dra-guard,Kernel / Dataplane Networking,"The repository's primary function is to act as a high-performance routing agent and proxy for Diameter traffic within mobile core networks. It explicitly uses eBPF with XDP and `tc` hooks to implement its low-level packet processing, filtering, and traffic recirculation for its transparent mode. This falls squarely into the Kernel / Dataplane Networking category, as it focuses on efficient packet manipulation, routing, and control directly in the kernel networking stack, outside of a cloud-native or containerized context. While it mentions security features like 'mitigation' and 'filtering', its core identity is a programmable dataplane for specialized network traffic, not a general-purpose security or observability tool.",
isItObservable/Tetragon,Educational / Demonstration Resources,"The repository's primary and sole purpose is to provide the files and instructions for a tutorial. The README explicitly states, ""This repository contains the files utilized during the tutorial presented in the dedicated IsItObservable episode related to Tetragon."" The entire structure is a step-by-step guide for setting up a temporary demonstration environment using GKE, Tetragon, and Dynatrace. While it leverages a runtime security tool (Tetragon) and an observability platform (Dynatrace), the repository itself does not implement these functionalities. Its intent is to teach and demonstrate how to use and integrate these tools, which is the core definition of the Educational / Demonstration Resources class.",
pinoOgni/ebpf-samples,Educational / Demonstration Resources,"The repository is explicitly described as a collection of ""various examples to learn, explore, and experiment with eBPF."" Its name, ""ebpf-samples,"" and structure, which organizes code by eBPF program types (XDP, tracepoint, tc, etc.), clearly indicate its primary purpose is pedagogical. The author notes it's a personal project worked on in their free time for learning and sharing. This aligns perfectly with the definition of an educational resource, which is not intended for production use but for teaching and demonstrating concepts.",
hengyoush/kyanos,Observability,"The tool's explicit purpose is to be a ""network issue analysis tool"" used to ""find slowest requests and identify the reasons."" Its primary functions involve capturing, tracing, and visualizing network request latency within the kernel to aid in troubleshooting and performance analysis. This aligns perfectly with the definition of Observability, which focuses on using eBPF to observe, measure, trace, and profile systems to understand their behavior. The tool's features, such as analyzing latency, identifying slow queries, and providing detailed metrics, are hallmarks of an observability program, not a security or networking one.",
isala404/scale-to-zero-ebpf,"Operations, Orchestration & Lifecycle Management","The repository's main intent is to implement a 'scale-to-zero' architecture, which is a form of workload lifecycle management. It uses eBPF to detect network requests for scaled-down services and then orchestrates the process of scaling them back up. This directly fits the definition of managing and automating the lifecycle of cloud-native components. The project's stated goal to evolve into a 'central operator' further solidifies this classification, as operators are a primary pattern for orchestration in Kubernetes.",
dorser/seccomp-ebpf,Defensive Security,"The repository's explicit purpose is to ""Convert seccomp profiles into eBPF programs."" This is a direct example of proactive defense, where a predefined security policy (a seccomp profile) is translated into an enforcement mechanism (an eBPF program) to harden a system before runtime. The tool operates outside of an active attack context, focusing on preparing and strengthening the system by applying syscall filtering rules. This aligns perfectly with the Defensive Security definition, which explicitly includes programs that ""translate, enforce, or simulate security policies such as seccomp filters.""",
CloudNativeStudyGroup/Free-Credly-Badges,Educational / Demonstration Resources,"The repository is a curated list of free courses, labs, and tutorials designed to help people learn about various technologies, including several specifically focused on Cilium and eBPF (e.g., ""Getting Started with eBPF"", ""Introduction to Cilium""). Its primary purpose is to aggregate and present educational content for learning and certification preparation. This aligns perfectly with the definition of the 'Educational / Demonstration Resources' class, as it is a resource collection whose main goal is to teach concepts rather than to provide a functional tool.",
bihari123/naarad,Runtime Security,"The repository is explicitly described as a ""system monitoring and security enforcement tool"" that uses eBPF to trace system calls and ""implement security policies through Linux Security Modules (LSM)"". This aligns directly with the definition of Runtime Security, which includes programs that ""enforce runtime policies"" and use ""LSM... hooks... for live monitoring and protection"". While it has monitoring aspects typical of Observability, its core purpose is active defense and policy enforcement, making Runtime Security the most accurate classification.",
SRodi/xdp-ddos-protect,Runtime Security,"The repository's explicit and sole purpose is to provide real-time protection against DDoS attacks. The eBPF program observes incoming network packets, detects a malicious pattern (an IP exceeding a packet rate threshold), and responds automatically by dropping the traffic. This aligns perfectly with the definition of Runtime Security, which involves observing, detecting, and responding to malicious activity while a system is running. It is not Kernel/Dataplane Networking because its intent is not general packet processing but specifically adversarial defense. It is not Defensive Security because it reacts to live attacks, rather than hardening a system pre-emptively.",
Utkar5hM/mariadb-ebpf-exporter,Observability,"The repository's primary and sole function is to measure application performance, specifically MySQL/MariaDB query execution latency. It uses eBPF to gather this data and exports it as Prometheus metrics for performance analysis. This aligns perfectly with the definition of the Observability class, which includes programs that use eBPF to measure, trace, or profile systems and applications for performance monitoring and diagnostics, without any security or networking goal.",
amiremohamadi/aoc,Educational / Demonstration Resources,"The repository's purpose is to solve the 'Advent of Code' programming puzzles using eBPF. This is a non-production, creative application of the technology. It serves as a showcase and demonstration of eBPF's capabilities for general-purpose computation in a novel context, rather than for security, networking, or observability. This aligns perfectly with the definition of an educational or demonstration resource, which includes proof-of-concept and showcase projects designed for learning and experimentation.",
RinHizakura/kmemsnoop,Observability,"The repository's explicit purpose is to 'Install a hardware breakpoint in Linux kernel for tracing/debugging'. Its functionality allows users to observe low-level kernel events like memory access and function execution to understand system behavior. This aligns perfectly with the definition of the Observability class, which focuses on tools that trace, profile, and provide visibility for diagnostic and debugging purposes, rather than for security enforcement or networking.",
hack3ric/mimic,Offensive Security,"The repository's primary and explicitly stated purpose is to serve as a ""UDP -> TCP obfuscator designed to bypass UDP QoS and port blocking."" This functionality is a form of evasion, intended to subvert network policies and controls. The definition of the Offensive Security class includes tools that ""use eBPF to bypass existing security measures"" and are used for ""evasion."" While the tool utilizes TC and XDP for packet manipulation, which is characteristic of Kernel/Dataplane Networking, its core intent is not neutral packet processing but the adversarial goal of circumventing restrictions. This places it firmly within the Offensive Security category as a tool for red-teaming or bypassing network filtering.",
javierhonduco/lightswitch,Observability,"The repository describes itself as a 'CPU profiler for Linux' designed for 'on-demand and continuous on-CPU profiling'. Its primary function is to use eBPF to sample CPU stack traces and generate performance visualizations like flamegraphs and pprof profiles. This directly fits the Observability category, which covers tools that measure, trace, and profile systems to understand behavior and diagnose performance issues without a security or networking intent.",
angeloxx/cilium-haegress-operator,"Operations, Orchestration & Lifecycle Management","This repository provides a Kubernetes Operator whose sole purpose is to manage the configuration and lifecycle of Cilium's Egress Gateway policies to achieve high availability. It doesn't implement any eBPF functionality itself; instead, it watches the state of the cluster (specifically, the location of a virtual IP managed by kube-vip) and automates the updates to the underlying Cilium Custom Resource Definitions. This fits the definition of 'Operations, Orchestration & Lifecycle Management' perfectly, as it acts as an operational controller to ensure an eBPF-based system (Cilium) is configured correctly and maintained over time in response to cluster events like node failures.",
yukinakanaka/tetragon-mini,Runtime Security,"The repository explicitly describes itself as a rewrite of Cilium Tetragon and a ""Security Observation Tool"". Its primary function is to monitor process lifecycle events in real time, which is a core capability for detecting malicious or anomalous behavior as it happens. Although the project is in an early stage, its stated intent and direct lineage from Tetragon (a canonical example of Runtime Security) firmly place it in this category. The future goal of implementing ""Tracing Policies"" further confirms its purpose is to detect and alert on policy violations at runtime, distinguishing it from a pure Observability tool which would lack this security enforcement context.",
davidcoles/vc5,Kernel / Dataplane Networking,"The repository describes a high-performance Layer 4 load balancer that uses eBPF with XDP for Direct Server Return (DSR). Its core function is to process and forward packets directly within the kernel networking stack to achieve high throughput, acting as a replacement for hardware appliances. It operates at the interface level, handling VLANs, bonded NICs, and IP tunneling, independent of any cloud-native or container orchestration context. This explicit focus on low-level, high-performance packet manipulation and routing in the kernel dataplane is the defining characteristic of the Kernel / Dataplane Networking class.",
DualHorizon/blackpill,Offensive Security,"The repository's documentation explicitly states it is a ""Linux kernel rootkit"". A rootkit is a tool designed for adversarial purposes, specifically to achieve stealth, persistence, and maintain unauthorized access. This aligns directly with the definition of the 'Offensive Security' class, which includes programs used for 'rootkit development', 'stealth persistence', and 'kernel exploitation'. The use of eBPF (XDP and TC) is to implement these malicious capabilities, making it a clear example of using eBPF for offensive purposes.",
KallDrexx/DotnetEbpf,Developer Tooling / Frameworks,"The repository's primary purpose is to enable developers to write eBPF applications using C#/.NET. It provides a .NET API for eBPF functions and a toolchain that transpiles C# into C code, which is then compiled into eBPF bytecode. This directly aligns with the definition of 'Developer Tooling / Frameworks,' which includes SDKs, libraries, language bindings, and frameworks designed to make eBPF development easier and more accessible. The project's intent is to improve the developer experience and workflow, not to provide a direct security, observability, or networking solution.",
polarsignals/kubezonnet,Observability,"The repository's primary intent is to observe, measure, and report on a specific system behavior: cross-zone network traffic in Kubernetes. Its goal is to provide insight into cloud costs by identifying which workloads are responsible for expensive traffic. The tool achieves this by collecting traffic statistics with eBPF and exposing them as Prometheus metrics (e.g., `pod_cross_zone_network_traffic_bytes_total`). This fits the definition of Observability perfectly, as it uses eBPF to turn low-level kernel events into actionable visibility for operators without performing any security enforcement or implementing networking dataplane functions.",
kubernetes-sigs/ingress2gateway,"Operations, Orchestration & Lifecycle Management","The repository provides a tool to translate Kubernetes Ingress configurations into Gateway API configurations. Its primary purpose is to manage the configuration lifecycle for various networking providers, including the eBPF-based solution Cilium. This is an operational task focused on configuration management and migration, not on implementing eBPF-based networking, security, or observability directly. The tool's intent is to help operators manage and evolve their infrastructure by automating a critical configuration update, which aligns perfectly with the definition of Operations, Orchestration & Lifecycle Management.",
parttimenerd/ebpf-verifier-errors,Developer Tooling / Frameworks,"The repository's primary intent is to serve as a practical resource for developers to debug and resolve eBPF verifier errors encountered during the development cycle. It functions as a specialized knowledge base, directly supporting the troubleshooting phase of eBPF program creation. Furthermore, the repository explicitly states its goal to be a ""data source for tooling,"" positioning it as a foundational component for future debuggers, linters, or IDE extensions. While it has educational value, its main purpose is to improve developer productivity and aid in the debugging process, which aligns perfectly with the definition of the Developer Tooling / Frameworks class.",
antitree/seccomp-diff,Defensive Security,"The repository provides tools to extract, disassemble, analyze, and compare seccomp-bpf security profiles. Its core function is to audit and validate an application's security posture by examining its system call restrictions. This aligns directly with the Defensive Security category, which focuses on proactive measures like hardening, auditing, and policy validation to reduce the attack surface before an attack occurs. The tool is used to strengthen configurations, not to detect threats in real-time (Runtime Security) or to build new eBPF programs (Developer Tooling / Frameworks).",
AdityaSeth777/ShieldK8s,Runtime Security,"The repository's primary purpose is to provide a 'security dashboard for monitoring Kubernetes cluster security'. Its core features, such as 'Threat Detection', 'Anomaly detection', 'Behavioral analysis', and 'Policy violation alerts', directly align with the definition of Runtime Security. The project uses eBPF via Cilium to observe network traffic and system behavior in real-time to identify and display security-relevant events. While it has aspects of observability (it's a dashboard), its intent is not neutral monitoring but specifically to detect and visualize security threats and policy violations as they happen. It is a tool designed to help users defend a running system by watching for malicious or non-compliant activity.",
kunai-project/kunai,Runtime Security,"The repository's primary intent is explicitly for runtime threat detection. It is described as a ""Threat-hunting tool for Linux"" designed for ""security monitoring"" and compared to Sysmon, a classic runtime security agent. The tool uses eBPF probes to ""capture critical events"" in real-time, providing ""actionable insights"" for tasks like ""detection engineering"" and ""incident response"". This functionality fits squarely within the definition of Runtime Security, which focuses on observing, detecting, and responding to malicious activity as it happens. While it performs observation, its goal is not neutral performance monitoring (Observability) but security enforcement and detection.",
acassen/fastswan,Kernel / Dataplane Networking,"The repository's primary purpose is to create a high-performance dataplane for the Linux Kernel's IPsec (XFRM) layer using eBPF at the XDP hook. It explicitly aims to provide a ""fast data-path"", ""IPSEC acceleration"", and ""kernel routing offload"" by bypassing the standard kernel network stack. This aligns perfectly with the definition of Kernel / Dataplane Networking, which focuses on using eBPF to accelerate or manipulate packet processing directly in the kernel for performance gains. The project operates at the XDP layer and its goal is to make a core networking function (IPsec) faster, which is a classic use case for this category.",
patrickpichler/beesting,Runtime Security,"The repository's explicit goal is to ""inject and monitor honey tokens"" to detect unauthorized access within a Kubernetes workload. The core eBPF functionality involves attaching a kprobe to `security_file_open` to monitor access to specific decoy files (honey tokens) in real time. When access is detected, it generates an alert. This aligns perfectly with the definition of Runtime Security, which focuses on observing, detecting, and responding to potentially malicious activity while a system is running. The use of honey tokens is a classic intrusion detection technique, placing this tool firmly in the adversarial, real-time defense context of Runtime Security, rather than neutral observability or pre-runtime hardening.",
xmigrate/blxrep,"Operations, Orchestration & Lifecycle Management","The repository's primary function is to provide a disaster recovery solution through live, sector-level disk replication. It is architected with a dispatcher/agent model, where a central dispatcher manages and orchestrates the data replication process from multiple agents running on different servers. The system's core purpose is to manage the lifecycle of these backups by applying policies for snapshot frequency, retention, and synchronization. While it uses eBPF tracepoints to track disk changes, its main intent is not just to observe but to manage a distributed operational workflow (data replication and recovery). This aligns perfectly with the definition of 'Operations, Orchestration & Lifecycle Management', as it coordinates and automates the lifecycle of a system that depends on eBPF for its core data source.",
congwang/ebpf-2-phase-signing,Defensive Security,"The repository's primary intent is to harden the eBPF subsystem by ensuring that only trusted and verifiably authentic eBPF programs can be loaded into the kernel. It does this by implementing a novel two-phase signing and verification mechanism that accounts for the modifications made by libbpf during the loading process. This is a classic example of Defensive Security: it is a proactive, preventive measure designed to strengthen and validate the system *before* any potential runtime attack. It focuses on establishing a chain of trust and integrity for the code itself, rather than monitoring the code's behavior for malicious activity at runtime (which would be Runtime Security).",
parttimenerd/concurrency-fuzz-scheduler,Defensive Security,"The repository's primary purpose is to fuzz concurrent applications by creating a custom eBPF-based scheduler that introduces random, erratic scheduling behavior. This directly aligns with the definition of Defensive Security, which includes programs that 'fuzz components to discover weaknesses' and 'strengthen, validate, or harden systems before or outside of active runtime attack conditions.' The tool is designed for proactive testing to discover and eliminate concurrency bugs (a form of vulnerability) before they manifest in production, which is a core tenet of defensive hardening and resilience testing.",
containerscrew/rootisnaked,Runtime Security,"The repository's explicit purpose, as stated in its description, is ""Simple root privilege escalation detection using eBPF."" It achieves this by hooking into the `commit_creds` kernel function to monitor for processes changing their user ID to 0 (root) in real time. This behavior directly aligns with the definition of Runtime Security, which includes programs that ""observe, detect, and respond to potentially malicious or policy-violating activity while a system or workload is actively running."" The tool generates security alerts based on this detected activity, which is a key characteristic of this class. While it has an educational aspect, its primary function is live threat detection, not teaching, observability, or system hardening.",
yandex/perforator,Observability,"The repository is explicitly described as a 'continuous profiling tool' designed to 'collect CPU profiles' and help developers 'fix performance issues'. Its core functionality involves using eBPF to measure, trace, and visualize application performance (e.g., via flamegraphs), which perfectly matches the definition of the Observability class. The project's intent is to understand system behavior for performance optimization, not security or networking.",
altugbozkurt07/Unix-sniffer,Observability,"The repository provides a command-line tool explicitly designed to ""monitor unix socket traffic including ancillary data using eBPF"". Its functionality includes listening to socket traffic, monitoring passed file descriptors, and observing SCM credentials. This aligns perfectly with the definition of Observability, which focuses on observing, tracing, and understanding system behavior without an explicit security or networking goal. The tool provides visibility into inter-process communication for debugging and analysis, answering the question ""What is happening?"" rather than ""Is something bad happening?"". It does not enforce policies (ruling out Runtime Security), manipulate traffic (ruling out Networking classes), or serve as a developer framework.",
dorkamotorka/goby,Developer Tooling / Frameworks,"The repository provides a command-line interface (CLI) tool explicitly designed to ""generate the initial project setup for developing eBPF programs."" Its primary function is to create boilerplate code and a Makefile, thereby speeding up the initial development phase. This directly aligns with the definition of Developer Tooling / Frameworks, which includes programs that help developers write, build, and distribute eBPF programs more efficiently. Goby does not perform security, networking, or observability functions itself; it is a utility that facilitates the creation of such programs.",
